Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:1eu1WlirwoijhkeXmbckRx,LOVE (with Elohim),"spotify:artist:7wg1qvie3KqDNQbAkTdbX0, spotify:artist:6wKxOKEA3K6R2UZ3COLXEY","Louis The Child, Elohim",spotify:album:21R2CiMVZH2MY514Sq2DIG,Kids At Play- EP,spotify:artist:7wg1qvie3KqDNQbAkTdbX0,Louis The Child,10/26/2018,https://i.scdn.co/image/ab67616d0000b27353c069027efd7447798e844d,1,5,212582,https://p.scdn.co/mp3-preview/f68837057b11ab7bfe4fa1f84413e78812d95518?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,38,spotify:user:piano_l0rd,2020-04-27T18:47:59Z
spotify:track:3Dfy8YIxq89i84t108TvMi,Love Bites - Remastered 2017,spotify:artist:6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,spotify:album:31oeDyCOLhgeZyktfxo0pE,Hysteria (Super Deluxe),spotify:artist:6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,8/3/1987,https://i.scdn.co/image/ab67616d0000b273222cb38afc3b3b47d9df26aa,1,4,346960,https://p.scdn.co/mp3-preview/05991deb4ca662e792e31df158ab70f878ebd9f0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,spotify:user:piano_l0rd,2020-04-27T18:50:46Z
spotify:track:0Fi9tYRYSsMPzNVYdgHY7Q,Love Me - Original,spotify:artist:0fauHpmSHwodVYIjTqOGHz,Yiruma,spotify:album:7mQySyLxOukXItkdPBs90U,First Love (Yiruma Piano Collection),spotify:artist:0fauHpmSHwodVYIjTqOGHz,Yiruma,11/27/2001,https://i.scdn.co/image/ab67616d0000b273aa25a237b7734a5497a809f3,1,3,242416,,FALSE,0,spotify:user:piano_l0rd,2020-04-27T18:49:59Z
spotify:track:15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Eminem, Rihanna",spotify:album:47BiFcV59TQi2s9SkBo2pb,Recovery,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,6/18/2010,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,1,15,263373,https://p.scdn.co/mp3-preview/3b2b26f562a4b82fe35fcd4587f2303485397b24?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,85,spotify:user:piano_l0rd,2020-04-27T18:45:58Z
spotify:track:285pBltuF7vW8TeWk8hdRR,Lucid Dreams,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,spotify:album:6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,12/10/2018,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,1,3,239835,https://p.scdn.co/mp3-preview/c9a36171aac7a51ca638fcde5c56d13160f8a812?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,88,spotify:user:piano_l0rd,2020-05-15T19:47:42Z
spotify:track:6qnhXRedMi71TBYRc9jm4o,Magic Carpet Ride,spotify:artist:1WRM9i067hd2ujxxi8FI3m,Steppenwolf,spotify:album:4pFKV18Ioeiln9RORAXx99,Born To Be Wild: A Retrospective,spotify:artist:1WRM9i067hd2ujxxi8FI3m,Steppenwolf,1/1/1991,https://i.scdn.co/image/ab67616d0000b2734eff98c9ebafc99c92194919,1,11,260240,,FALSE,0,spotify:user:piano_l0rd,2021-01-15T22:58:19Z
spotify:track:4c4jJJoaiY21t2TyRZgdWS,Magic Carpet Ride,spotify:artist:1WRM9i067hd2ujxxi8FI3m,Steppenwolf,spotify:album:2Y5GORWYwVAZ8msuEuh5FN,The Second,spotify:artist:1WRM9i067hd2ujxxi8FI3m,Steppenwolf,10/1/1968,https://i.scdn.co/image/ab67616d0000b273626d1849afa1bc27a8743dfe,1,7,271573,https://p.scdn.co/mp3-preview/21ea3c67d631259f75d59586888a67b2acaa01b8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,72,spotify:user:piano_l0rd,2021-07-12T01:41:33Z
spotify:track:709ffFK4o4MtG1NKoLvOma,Major Tom - Coming Home,spotify:artist:7ip3CWlgPZbQHvgJpmcGSS,Peter Schilling,spotify:album:4YHQCvzRhFPYki87AK5Pdg,The Different Story (World Of Lust And Crime),spotify:artist:7ip3CWlgPZbQHvgJpmcGSS,Peter Schilling,4/4/1989,https://i.scdn.co/image/ab67616d0000b273da10e566a05c4c506a424f3a,1,2,301373,https://p.scdn.co/mp3-preview/70b04015cf59f432112bef586c87a65e7b62dbfd?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,spotify:user:piano_l0rd,2020-04-27T18:49:47Z
spotify:track:6gZVQvQZOFpzIy3HblJ20F,Man in the Box,spotify:artist:64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,spotify:album:5LbHbwejgZXRZAgzVAjkhj,Facelift,spotify:artist:64tNsm6TnZe2zpcMVMOoHL,Alice In Chains,8/1/1990,https://i.scdn.co/image/ab67616d0000b2731f829ea9c2c7ffcec1a3c857,1,2,285200,https://p.scdn.co/mp3-preview/e8f64bbe777d801968d88d492bf2eca9512eae55?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,77,spotify:user:piano_l0rd,2020-04-27T18:49:59Z
spotify:track:2u2udGmop1z67EPpr91km7,Man in the Mirror,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,spotify:album:3OBhnTLrvkoEEETjFA3Qfk,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,6/16/1995,https://i.scdn.co/image/ab67616d0000b273d0593178c6c2594693ee34b7,1,8,319306,https://p.scdn.co/mp3-preview/84dad0be363813d04f7bdf3961ede9bac3c98707?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,68,spotify:user:piano_l0rd,2020-04-27T18:50:34Z
spotify:track:4jLv3tDBu8ww2R07DvL12s,Man On The Moon,spotify:artist:4KWTAlx2RvbpseOGMEmROg,R.E.M.,spotify:album:0BiNb8HYR4JvuxUa31Z58Q,Automatic For The People,spotify:artist:4KWTAlx2RvbpseOGMEmROg,R.E.M.,10/5/1992,https://i.scdn.co/image/ab67616d0000b273ace3e7aae0b7c78bbe1c4f35,1,10,314173,https://p.scdn.co/mp3-preview/e2ae0ee58896a90818544c0ca5d0a82af66e5027?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,spotify:user:piano_l0rd,2020-04-27T18:48:28Z
